Version,Kind
v1,ObjectFieldSelector
v1,ObjectMeta
v1,ObjectReference
v1,Overhead
v1,OwnerReference
v1,ParamKind
v1,ParamRef
v1,Patch
v1,PersistentVolume
v1,PersistentVolumeClaim
v1,PersistentVolumeClaimCondition
v1,PersistentVolumeClaimList
v1,PersistentVolumeClaimSpec
v1,PersistentVolumeClaimStatus
v1,PersistentVolumeClaimTemplate
v1,PersistentVolumeClaimVolumeSource
v1,PersistentVolumeList
v1,PersistentVolumeSpec
v1,PersistentVolumeStatus
v1,PhotonPersistentDiskVolumeSource
v1,Pod
v1,PodAffinity
v1,PodAffinityTerm
v1,PodAntiAffinity
v1,PodCondition
v1,PodDNSConfig
v1,PodDNSConfigOption
v1,PodDisruptionBudget
v1,PodDisruptionBudgetList
v1,PodDisruptionBudgetSpec
v1,PodDisruptionBudgetStatus
v1,PodFailurePolicy
v1,PodFailurePolicyOnExitCodesRequirement
v1,PodFailurePolicyOnPodConditionsPattern
v1,PodFailurePolicyRule
v1,PodIP
v1,PodList
v1,PodOS
v1,PodReadinessGate
v1,PodResourceClaim
v1,PodResourceClaimStatus
v1,PodSchedulingGate
v1,PodSecurityContext
v1,PodSpec
v1,PodStatus
v1,PodTemplate
v1,PodTemplateList
v1,PodTemplateSpec
v1,PolicyRule
v1,PolicyRulesWithSubjects
v1,PortStatus
v1,PortworxVolumeSource
v1,Preconditions
v1,PreferredSchedulingTerm
v1,PriorityClass
v1,PriorityClassList
v1,PriorityLevelConfiguration
v1,PriorityLevelConfigurationCondition
v1,PriorityLevelConfigurationList
v1,PriorityLevelConfigurationReference
v1,PriorityLevelConfigurationSpec
v1,PriorityLevelConfigurationStatus
v1,Probe
v1,ProjectedVolumeSource
v1,QueuingConfiguration
v1,QuobyteVolumeSource
v1,RBDPersistentVolumeSource
v1,RBDVolumeSource
v1,ReplicaSet
v1,ReplicaSetCondition
v1,ReplicaSetList
v1,ReplicaSetSpec
v1,ReplicaSetStatus
v1,ReplicationController
v1,ReplicationControllerCondition
v1,ReplicationControllerList
v1,ReplicationControllerSpec
v1,ReplicationControllerStatus
v1,ResourceAttributes
v1,ResourceClaim
v1,ResourceFieldSelector
v1,ResourcePolicyRule
v1,ResourceQuota
v1,ResourceQuotaList
v1,ResourceQuotaSpec
v1,ResourceQuotaStatus
v1,ResourceRequirements
v1,ResourceRule
v1,Role
v1,RoleBinding
v1,RoleBindingList
v1,RoleList
v1,RoleRef
v1,RollingUpdateDaemonSet
v1,RollingUpdateDeployment
v1,RollingUpdateStatefulSetStrategy
v1,RuleWithOperations
v1,RuntimeClass
v1,RuntimeClassList
v1,SELinuxOptions
v1,Scale
v1,ScaleIOPersistentVolumeSource
v1,ScaleIOVolumeSource
v1,ScaleSpec
v1,ScaleStatus
v1,Scheduling
v1,ScopeSelector
v1,ScopedResourceSelectorRequirement
v1,SeccompProfile
v1,Secret
v1,SecretEnvSource
v1,SecretKeySelector
v1,SecretList
v1,SecretProjection
v1,SecretReference
v1,SecretVolumeSource
v1,SecurityContext
v1,SelectableField
v1,SelfSubjectAccessReview
v1,SelfSubjectAccessReviewSpec
v1,SelfSubjectReview
v1,SelfSubjectReviewStatus
v1,SelfSubjectRulesReview
v1,SelfSubjectRulesReviewSpec
v1,ServerAddressByClientCIDR
v1,Service
v1,ServiceAccount
v1,ServiceAccountList
v1,ServiceAccountSubject
v1,ServiceAccountTokenProjection
v1,ServiceBackendPort
v1,ServiceList
v1,ServicePort
v1,ServiceReference
v1,ServiceSpec
v1,ServiceStatus
v1,SessionAffinityConfig
v1,SleepAction
v1,StatefulSet
v1,StatefulSetCondition
v1,StatefulSetList
v1,StatefulSetOrdinals
v1,StatefulSetPersistentVolumeClaimRetentionPolicy
v1,StatefulSetSpec
v1,StatefulSetStatus
v1,StatefulSetUpdateStrategy
v1,Status
v1,StatusCause
v1,StatusDetails
v1,StorageClass
v1,StorageClassList
v1,StorageOSPersistentVolumeSource
v1,StorageOSVolumeSource
v1,Subject
v1,SubjectAccessReview
v1,SubjectAccessReviewSpec
v1,SubjectAccessReviewStatus
v1,SubjectRulesReviewStatus
v1,SuccessPolicy
v1,SuccessPolicyRule
v1,Sysctl
v1,TCPSocketAction
v1,Taint
v1,Time
v1,TokenRequest
v1,TokenRequestSpec
v1,TokenRequestStatus
v1,TokenReview
v1,TokenReviewSpec
v1,TokenReviewStatus
v1,Toleration
v1,TopologySelectorLabelRequirement
v1,TopologySelectorTerm
v1,TopologySpreadConstraint
v1,TypeChecking
v1,TypedLocalObjectReference
v1,TypedObjectReference
v1,UncountedTerminatedPods
v1,UserInfo
v1,UserSubject
v1,ValidatingAdmissionPolicy
v1,ValidatingAdmissionPolicyBinding
v1,ValidatingAdmissionPolicyBindingList
v1,ValidatingAdmissionPolicyBindingSpec
v1,ValidatingAdmissionPolicyList
v1,ValidatingAdmissionPolicySpec
v1,ValidatingAdmissionPolicyStatus
v1,ValidatingWebhook
v1,ValidatingWebhookConfiguration
v1,ValidatingWebhookConfigurationList
v1,Validation
v1,ValidationRule
v1,Variable
v1,Volume
v1,VolumeAttachment
v1,VolumeAttachmentList
v1,VolumeAttachmentSource
v1,VolumeAttachmentSpec
v1,VolumeAttachmentStatus
v1,VolumeDevice
v1,VolumeError
v1,VolumeMount
v1,VolumeMountStatus
v1,VolumeNodeAffinity
v1,VolumeNodeResources
v1,VolumeProjection
v1,VolumeResourceRequirements
v1,VsphereVirtualDiskVolumeSource
v1,WatchEvent
v1,WebhookClientConfig
v1,WebhookConversion
v1,WeightedPodAffinityTerm
v1,WindowsSecurityContextOptions
v1alpha1,AuditAnnotation
v1alpha1,ClusterTrustBundle
v1alpha1,ClusterTrustBundleList
v1alpha1,ClusterTrustBundleSpec
v1alpha1,ExpressionWarning
v1alpha1,GroupVersionResource
v1alpha1,IPAddress
v1alpha1,IPAddressList
v1alpha1,IPAddressSpec
v1alpha1,MatchCondition
v1alpha1,MatchResources
v1alpha1,MigrationCondition
v1alpha1,NamedRuleWithOperations
v1alpha1,ParamKind
v1alpha1,ParamRef
v1alpha1,ParentReference
v1alpha1,SelfSubjectReview
v1alpha1,SelfSubjectReviewStatus
v1alpha1,ServerStorageVersion
v1alpha1,ServiceCIDR
v1alpha1,ServiceCIDRList
v1alpha1,ServiceCIDRSpec
v1alpha1,ServiceCIDRStatus
v1alpha1,StorageVersion
v1alpha1,StorageVersionCondition
v1alpha1,StorageVersionList
v1alpha1,StorageVersionMigration
v1alpha1,StorageVersionMigrationList
v1alpha1,StorageVersionMigrationSpec
v1alpha1,StorageVersionMigrationStatus
v1alpha1,StorageVersionSpec
v1alpha1,StorageVersionStatus
v1alpha1,TypeChecking
v1alpha1,ValidatingAdmissionPolicy
v1alpha1,ValidatingAdmissionPolicyBinding
v1alpha1,ValidatingAdmissionPolicyBindingList
v1alpha1,ValidatingAdmissionPolicyBindingSpec
v1alpha1,ValidatingAdmissionPolicyList
v1alpha1,ValidatingAdmissionPolicySpec
v1alpha1,ValidatingAdmissionPolicyStatus
v1alpha1,Validation
v1alpha1,Variable
v1alpha1,VolumeAttributesClass
v1alpha1,VolumeAttributesClassList
v1alpha2,AllocationResult
v1alpha2,DriverAllocationResult
v1alpha2,DriverRequests
v1alpha2,NamedResourcesAllocationResult
v1alpha2,NamedResourcesAttribute
v1alpha2,NamedResourcesFilter
v1alpha2,NamedResourcesInstance
v1alpha2,NamedResourcesIntSlice
v1alpha2,NamedResourcesRequest
v1alpha2,NamedResourcesResources
v1alpha2,NamedResourcesStringSlice
v1alpha2,PodSchedulingContext
v1alpha2,PodSchedulingContextList
v1alpha2,PodSchedulingContextSpec
v1alpha2,PodSchedulingContextStatus
v1alpha2,ResourceClaim
v1alpha2,ResourceClaimConsumerReference
v1alpha2,ResourceClaimList
v1alpha2,ResourceClaimParameters
v1alpha2,ResourceClaimParametersList
v1alpha2,ResourceClaimParametersReference
v1alpha2,ResourceClaimSchedulingStatus
v1alpha2,ResourceClaimSpec
v1alpha2,ResourceClaimStatus
v1alpha2,ResourceClaimTemplate
v1alpha2,ResourceClaimTemplateList
v1alpha2,ResourceClaimTemplateSpec
v1alpha2,ResourceClass
